,Valid,Time,Latitude,Longitude,Altitude,Speed,Address,Attributes,convertion
0,True,2023-09-13 19:26:25,16.9721583,82.2405233,52,0.0 km/h,"16.972158°, 82.240523°",priority=0  sat=8  event=0  ignition=false  motion=false  rssi=5  io200=0  io69=1  pdop=1.2000000000000002  hdop=0.9  power=12.509  battery=4.0840000000000005  io68=0  operator=40449  odometer=0  distance=0.0  totalDistance=0.0,0.0
1,True,2023-09-13 19:26:25,16.9721116,82.2405716,52,6.0 km/h,"16.972112°, 82.240572°",priority=0  sat=8  event=240  ignition=false  motion=true  rssi=5  io200=0  io69=1  pdop=1.2000000000000002  hdop=0.9  power=12.487  battery=4.0840000000000005  io68=0  operator=40449  odometer=0  distance=7.31  totalDistance=7.31,6.0
2,True,2023-09-13 19:26:27,16.97211,82.2405749,51,6.0 km/h,"16.972110°, 82.240575°",priority=0  sat=8  event=0  ignition=false  motion=true  rssi=5  io200=0  io69=1  pdop=1.2000000000000002  hdop=0.9  power=12.688  battery=4.081  io68=0  operator=40449  odometer=0  distance=0.39  totalDistance=7.7,6.0
3,False,2023-09-13 19:30:23,16.972285,82.240605,0,0.0 km/h,"16.972285°, 82.240605°",priority=0  sat=0  event=240  ignition=false  motion=false  rssi=3  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.823  io68=0  operator=40449  odometer=23  distance=19.74  totalDistance=27.44,0.0
4,False,2023-09-13 19:31:04,16.972285,82.240605,0,0.0 km/h,"16.972285°, 82.240605°",priority=0  sat=0  event=240  ignition=false  motion=true  rssi=3  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.807  io68=0  operator=40449  odometer=23  distance=0.0  totalDistance=27.44,0.0
5,False,2023-09-13 19:32:20,16.972285,82.240605,0,0.0 km/h,"16.972285°, 82.240605°",priority=0  sat=0  event=240  ignition=false  motion=false  rssi=2  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.766  io68=0  operator=40449  odometer=23  distance=0.0  totalDistance=27.44,0.0
6,False,2023-09-13 19:32:26,16.972285,82.240605,0,0.0 km/h,"16.972285°, 82.240605°",priority=0  sat=0  event=240  ignition=false  motion=true  rssi=3  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.779  io68=0  operator=40449  odometer=23  distance=0.0  totalDistance=27.44,0.0
7,False,2023-09-13 19:33:38,16.972285,82.240605,0,0.0 km/h,"16.972285°, 82.240605°",priority=0  sat=0  event=240  ignition=false  motion=false  rssi=3  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.747  io68=0  operator=40449  odometer=23  distance=0.0  totalDistance=27.44,0.0
8,False,2023-09-13 19:34:20,16.972285,82.240605,0,0.0 km/h,"16.972285°, 82.240605°",priority=0  sat=0  event=240  ignition=false  motion=true  rssi=3  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.742  io68=0  operator=40449  odometer=23  distance=0.0  totalDistance=27.44,0.0
9,True,2023-09-13 19:36:48,16.97212,82.2404133,45,0.0 km/h,"16.972120°, 82.240413°",priority=0  sat=7  event=240  ignition=false  motion=false  rssi=3  io200=0  io69=1  pdop=1.3  hdop=1.0  power=0.0  battery=3.666  io68=0  operator=40449  odometer=23  distance=27.46  totalDistance=54.9,0.0
10,True,2023-09-13 23:42:19,16.9653883,82.228145,44,16.0 km/h,"16.965388°, 82.228145°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.6000000000000005  hdop=4.5  power=0.0  battery=3.922  io68=0  operator=40449  odometer=23  distance=9191463.42  totalDistance=1.838431675E7,16.0
11,True,2023-09-13 23:42:19,16.9653883,82.228145,44,16.0 km/h,"16.965388°, 82.228145°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.6000000000000005  hdop=4.5  power=0.0  battery=3.922  io68=0  operator=40449  odometer=23  distance=95.06  totalDistance=1.838459305E7,16.0
12,True,2023-09-13 23:42:31,16.9654166,82.2278983,45,11.0 km/h,"16.965417°, 82.227898°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=4.6000000000000005  hdop=4.5  power=0.0  battery=3.899  io68=0  operator=40449  odometer=39  distance=26.46  totalDistance=1.838434321E7,11.0
13,True,2023-09-13 23:42:31,16.9654166,82.2278983,45,11.0 km/h,"16.965417°, 82.227898°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=4.6000000000000005  hdop=4.5  power=0.0  battery=3.899  io68=0  operator=40449  odometer=39  distance=121.45  totalDistance=1.838461944E7,11.0
14,True,2023-09-13 23:42:39,16.9654433,82.2279633,45,6.0 km/h,"16.965443°, 82.227963°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=8.9  hdop=6.300000000000001  power=0.0  battery=3.906  io68=0  operator=40449  odometer=48  distance=7.53  totalDistance=1.838435074E7,6.0
15,True,2023-09-13 23:42:39,16.9654433,82.2279633,45,6.0 km/h,"16.965443°, 82.227963°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=8.9  hdop=6.300000000000001  power=0.0  battery=3.906  io68=0  operator=40449  odometer=48  distance=115.26  totalDistance=1.838461325E7,6.0
16,True,2023-09-13 23:43:58,16.9653483,82.2285549,42,6.0 km/h,"16.965348°, 82.228555°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.800000000000001  hdop=4.7  power=0.0  battery=3.847  io68=0  operator=40449  odometer=117  distance=63.87  totalDistance=1.838441461E7,6.0
